"OBJECTTYPE","PROPERTY","DISPMODE","REQUIRED","HIDDEN","MAXVAL","MINVAL","MAXLEN","FORMAT","FORMATDESC","HASDEPENDANT","HASHIDDENDEPENDANT"
"CFProcess.Workflow.Justification","OtherIncome","READWRITE","0","0",0,0,16,"^([0-9]{1,3},([0-9]{3},)?[0-9]{3}|[0-9]+)(.[0-9][0-9])?$"," FORMAT- 999999999.99","0",""
"CFProcess.Workflow.Justification","SpouseOrPartnerIncome","READWRITE","0","0",0,0,16,"^([0-9]{1,3},([0-9]{3},)?[0-9]{3}|[0-9]+)(.[0-9][0-9])?$"," FORMAT- 999999999.99","0",""
"CFProcess.Workflow.Justification","ProjectedIncomeLeasedAsset","READWRITE","1","0",0,0,16,"","","0",""
"CFProcess.Workflow.Justification","LivingExpenses","READWRITE","0","0",0,0,16,"^([0-9]{1,3},([0-9]{3},)?[0-9]{3}|[0-9]+)(.[0-9][0-9])?$"," FORMAT- 999999999.99","0",""
"CFProcess.Workflow.Justification","LoanAndLeaseRePayment","READWRITE","0","0",0,0,16,"^([0-9]{1,3},([0-9]{3},)?[0-9]{3}|[0-9]+)(.[0-9][0-9])?$"," FORMAT- 999999999.99","0",""
"CFProcess.Workflow.CreditBoard","ExposureOnSVRPercentage","READWRITE","1","0",0,0,0,"","","0",""
"CFProcess.Workflow.Justification","CustomerNIC","readwrite","1","0",0,0,10,"^\d{9}(X|V)$","9-Numeric X-LETTER","0",""
"CFProcess.Workflow.Justification","CustomerName","READWRITE","1","0",0,0,250,"","","0",""
"CFProcess.Workflow.Justification","PermanentAddress","READWRITE","1","0",0,0,250,"","","0",""
"CFProcess.Workflow.Justification","FacilityNo","READWRITE","1","0",0,0,16,"^([0-9]{1,3},([0-9]{3},)?[0-9]{3}|[0-9]+)(.[0-9][0-9])?$"," FORMAT- 999999999.99","0",""
"CFProcess.Workflow.Justification","VATPercentage","READWRITE","1","0",0,0,"","","","0",""
"CFProcess.Workflow.Justification","SellingPrice","READWRITE","1","0",0,0,16,"^([0-9]{1,3},([0-9]{3},)?[0-9]{3}|[0-9]+)(.[0-9][0-9])?$"," FORMAT- 999999999.99","0",""
"CFProcess.Workflow.Justification","Period","READWRITE","1","0",999,0,3,"","","0",""
"CFProcess.Workflow.CreditBoard","ToRS","READWRITE","1","0",0,0,16,"","","",""
"CFProcess.Workflow.CreditBoard","TotalCommission","READWRITE","1","0",0,0,0,"","","0",""
"CFProcess.Workflow.CreditBoard","IncomeFromEmployment","READWRITE","0","0",0,0,16,"","","0",""
"CFProcess.Workflow.CreditBoard","Allowance","READWRITE","0","0",0,0,16,"","","0",""
